id,scam_type,message,description,language,target_info_requested,medium
1,Phishing Scam (Link Sharing),Your Axis account is at risk. Click here to verify your info: http://gade.org,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
2,Fake Discount/Refund Scam,You are eligible for a ₹53597 refund from Chadha LLC. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
3,Fake Loan Approval Scam,You are pre-approved for a ₹77178 loan. Pay ₹629 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
4,WhatsApp Account Hacking Scam,"Hey, this is Bhamini. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
5,Fake E-commerce Scam,Get Smartwatch for just ₹82437. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
6,WhatsApp Account Hacking Scam,"Hey, this is Samiha. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
7,Cryptocurrency Investment Scam,Invest ₹70970 in our crypto plan and get ₹94387 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
8,Fake Job Offer Scam,"Hi, this is Fateh from HR at Banerjee Inc. You've been shortlisted for a remote role. Pay ₹437 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
9,WhatsApp Account Hacking Scam,"Hey, this is Aarna. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
10,Tax Refund Scam,Your tax refund of ₹28607 is ready. Click here to verify your info: http://ram.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
11,Cryptocurrency Investment Scam,Invest ₹94134 in our crypto plan and get ₹95942 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
12,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹18750 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 03207660596.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
13,Fake Technical Support Scam,This is Arhaan from Rajagopal Group Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
14,Friend in Distress Scam,"Hey, it's Zoya. I'm stuck in Maheshtala and need ₹7741 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
15,Cryptocurrency Investment Scam,Invest ₹42496 in our crypto plan and get ₹83142 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
16,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹44258 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to +912906963732.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
17,Fake E-commerce Scam,Get Laptop for just ₹26467. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
18,Fake E-commerce Scam,Get Smartwatch for just ₹69333. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
19,Fake Discount/Refund Scam,You are eligible for a ₹50792 refund from Ahuja-Gera. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
20,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
21,Fake Job Offer Scam,"Hi, this is Trisha from HR at Kale-Sachar. You've been shortlisted for a remote role. Pay ₹546 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
22,Fake E-commerce Scam,Get Smartwatch for just ₹16998. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
23,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹11772 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to +916326274179.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
24,Tax Refund Scam,Your tax refund of ₹43242 is ready. Click here to verify your info: http://bhagat.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
25,UPI Scam,"Your HDFC account is blocked. To unblock, pay ₹59600 to UPI ID: isoman@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
26,Fake E-commerce Scam,Get AirPods Pro for just ₹8020. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
